"","Reporting unit","Reporting unit type","State","Peer group","Time period","Patient cohort","Number of patients","Percentage of patients seen on time","Peer group average"
"1","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2011–12","Emergency",2117,77,"80%"
"2","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2012–13","Emergency",2045,84,"83%"
"3","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2013–14","Emergency",2182,85,"85%"
"4","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2014–15","Emergency",2435,81,"83%"
"5","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2015–16","Emergency",3280,80,"83%"
"6","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2016–17","Emergency",3389,83,"81%"
"7","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2017–18","Emergency",3416,81,"80%"
"8","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2018–19","Emergency",3930,80,"79%"
"9","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2019–20","Emergency",4260,71,"77%"
"10","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2011–12","Non-Urgent",2961,89,"88%"
"11","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2012–13","Non-Urgent",2112,93,"90%"
"12","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2013–14","Non-Urgent",1956,91,"91%"
"13","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2014–15","Non-Urgent",1584,92,"92%"
"14","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2015–16","Non-Urgent",1343,95,"92%"
"15","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2016–17","Non-Urgent",1474,93,"91%"
"16","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2017–18","Non-Urgent",1667,95,"91%"
"17","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2018–19","Non-Urgent",2102,93,"91%"
"18","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2019–20","Non-Urgent",2351,94,"92%"
"19","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2011–12","Resuscitation",323,100,"100%"
"20","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2012–13","Resuscitation",208,100,"100%"
"21","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2013–14","Resuscitation",188,100,"100%"
